TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
17:04:00,69,11.0,3.0,3.0,3.0,850.0,3875.0,6831.0,0.57,56.52,113.0,10.5,360.0,115.8
17:36:00,30,7.5,3.2,2.8,3.0,225.0,1050.0,2016.0,0.52,35.0,35.0,2.75,315.0,101.4
17:07:00,33,4.5,3.0,3.0,2.5,148.5,469.46,1336.5,0.35,14.22,28.44,1.45,410.0,131.1
17:06:00,30,6.7,3.5,2.8,3.0,214.0,659.0,1969.8,0.33,21.66,43.33,0.992,465.0,118.3
17:07:00,21,6.7,3.8,3.0,2.5,140.0,525.0,1603.98,0.32,25.0,50.0,5.12,290.0,140.5
13:28:00,34,15.0,4.2,3.2,3.0,510.0,2800.0,6854.4,0.41,82.45,82.45,9.09,310.0,125.1
13:31:00,30,5.5,3.2,2.8,3.0,171.0,700.0,1568.0,0.45,23.33,23.33,6.86,400.0,116.0
13:30:00,44,5.6,3.0,2.5,3.0,262.0,875.0,1965.0,0.44,19.88,39.77,1.44,480.0,111.6
13:26:00,35,15.0,3.0,3.0,3.0,550.0,2750.0,4725.0,0.57,78.57,157.14,0.579,465.0,83.4
13:23:00,28,10.0,3.5,3.0,3.0,280.0,1275.0,2940.0,0.47,45.53,45.53,0.659,485.0,81.4
13:30:00,39,6.0,3.0,3.0,2.5,234.0,1025.0,1944.0,0.52,26.28,52.56,3.31,302.0,119.9
13:31:00,36,9.0,3.2,2.8,3.0,267.0,1350.0,2392.32,0.56,37.5,37.5,6.86,400.0,116.0
13:32:00,105,5.0,3.2,2.5,3.0,889.0,4333.3,7965.0,0.54,41.26,82.54,0.945,470.0,119.1
13:39:00,30,15.0,4.0,3.0,3.0,450.0,2500.0,5400.0,0.46,83.33,83.33,1.91,370.0,122.0
13:25:00,20,6.5,3.5,2.8,3.0,130.0,600.0,1274.0,0.47,30.0,60.0,12.2,280.0,119.6
13:30:00,61,8.0,4.0,3.0,3.0,488.0,2400.0,5856.0,0.41,39.34,78.68,2.29,400.0,121.5
13:29:00,40,7.8,3.0,3.0,3.5,300.0,1250.0,2610.0,0.47,31.25,62.5,2.16,380.0,112.0
13:26:00,70,9.0,4.0,2.8,2.5,420.0,2000.0,4704.0,0.42,28.57,57.14,0.881,470.0,124.3
13:38:00,30,15.0,4.0,3.0,3.0,450.0,2500.0,5400.0,0.46,83.33,83.33,0.635,480.0,120.0
13:23:00,35,4.6,3.0,3.0,2.5,175.0,575.0,1575.0,0.36,16.42,32.84,0.627,480.0,112.7
13:37:00,25,9.0,3.2,3.0,3.0,224.18,1080.0,2152.12,0.51,43.22,86.44,0.889,390.0,110.0
